id;number_of_check_ins
2020_1_25_2;4
2020_1_25_3;3.7
2020_1_25_4;4
2020_1_25_5;6
2020_1_25_6;15.1
2020_1_25_7;36.1
2020_1_25_8;74
2020_1_25_9;103.5
2020_1_25_10;123.2
2020_1_25_11;153.10000000000002
2020_1_25_12;177.6
2020_1_25_13;196.8
2020_1_25_14;202.2
2020_1_25_15;198.4
2020_1_25_16;198.8
2020_1_25_17;190.2
2020_1_25_18;154.29999999999998
2020_1_25_19;118.1
2020_1_25_20;95.3
2020_1_25_21;83
2020_1_25_22;89.5
2020_1_25_23;92.4
2020_1_26_0;47.2
2020_1_26_1;10.6
2020_1_26_2;4.8
2020_1_26_3;4.5
2020_1_26_4;4.9
2020_1_26_5;4.9
2020_1_26_6;5.5
2020_1_26_7;16.1
2020_1_26_8;35.2
2020_1_26_9;59.3
2020_1_26_10;78.3
2020_1_26_11;106.9
2020_1_26_12;130.6
2020_1_26_13;148.10000000000002
2020_1_26_14;148.29999999999998
2020_1_26_15;145.8
2020_1_26_16;148
2020_1_26_17;144
2020_1_26_18;119.5
2020_1_26_19;99
2020_1_26_20;83.8
2020_1_26_22;51.6
2020_1_26_23;33.9
2020_1_27_0;9.8
2020_1_27_1;1.1
2020_1_27_2;0.4
2020_1_27_3;0.7
2020_1_27_4;2
2020_1_27_5;23.3
2020_1_27_6;144.8
2020_1_27_7;450.8
2020_1_27_8;508.6000000000001
2020_1_27_9;272.6
2020_1_27_10;209.3
2020_1_27_11;216.5
2020_1_27_12;255.80000000000004
2020_1_27_13;251.4
2020_1_27_14;295.4
2020_1_27_15;361.6
2020_1_27_16;430.6
2020_1_27_17;464.5
2020_1_27_18;251.6
2020_1_27_19;124.2
2020_1_27_20;89
2020_1_27_21;81.19999999999999
2020_1_27_22;64.8
2020_1_27_23;38.1
2020_1_28_0;11.2
2020_1_28_1;1.1
2020_1_28_2;0.5
2020_1_28_3;0.6
2020_1_28_4;2
2020_1_28_5;23.2
2020_1_28_6;152.5
2020_1_28_7;493.4
2020_1_28_8;568.4
2020_1_28_9;307.6
2020_1_28_10;222.2
2020_1_28_11;222.8
2020_1_28_12;276.3
2020_1_28_13;275.2
2020_1_28_14;318
2020_1_28_15;374.9
2020_1_28_16;444.2
2020_1_28_17;501.1
2020_1_28_18;284.3
2020_1_28_19;137.6
2020_1_28_20;96.3
2020_1_28_21;89.89999999999999
2020_1_28_22;72.9
2020_1_28_23;47.4
2020_1_29_0;13.9
2020_1_29_1;1.4
2020_1_29_2;0.6
2020_1_29_3;0.8
2020_1_29_4;2.1
2020_1_29_5;21.4
2020_1_29_6;130.5
2020_1_29_7;417
2020_1_29_8;488.7000000000001
2020_1_29_9;280.6
2020_1_29_10;210.6
2020_1_29_11;227.8
2020_1_29_12;283.4
2020_1_29_13;274.3
2020_1_29_14;301.20000000000005
2020_1_29_15;347.5
2020_1_29_16;407.7
2020_1_29_17;439.6
2020_1_29_18;258.2
2020_1_29_19;135.5
2020_1_29_20;98.4
2020_1_29_21;92.8
2020_1_29_22;79.3
2020_1_29_23;46.1
2020_1_30_0;14.3
2020_1_30_1;1.5
