id;number_of_check_ins
2022_6_7_3;0.6
2022_6_7_4;1.6
2022_6_7_5;17.4
2022_6_7_6;97
2022_6_7_7;298.9
2022_6_7_8;367.9
2022_6_7_9;216.1
2022_6_7_10;171
2022_6_7_11;172.5
2022_6_7_12;210
2022_6_7_13;207.5
2022_6_7_14;234.2
2022_6_7_15;269
2022_6_7_16;307.40000000000003
2022_6_7_17;332.8
2022_6_7_18;197.8
2022_6_7_19;108
2022_6_7_20;79.39999999999999
2022_6_7_21;72
2022_6_7_22;66.60000000000001
2022_6_7_23;46.5
2022_6_8_0;14.1
2022_6_8_1;1.4
2022_6_8_2;0.7
2022_6_8_3;0.7
2022_6_8_4;1.6
2022_6_8_5;17.1
2022_6_8_6;88
2022_6_8_7;275.3
2022_6_8_8;343.8
2022_6_8_9;203.8
2022_6_8_10;163.6
2022_6_8_11;174.1
2022_6_8_12;218.3
2022_6_8_13;214.5
2022_6_8_14;237.1
2022_6_8_15;268.1
2022_6_8_16;294.6
2022_6_8_17;308.6
2022_6_8_18;186.1
2022_6_8_19;103.7
2022_6_8_20;78.10000000000001
2022_6_8_21;70.1
2022_6_8_22;70.9
2022_6_8_23;53.1
2022_6_9_0;15.7
2022_6_9_1;1.3
2022_6_9_2;0.5
2022_6_9_3;0.6
2022_6_9_4;1.8
2022_6_9_5;17.1
2022_6_9_6;92.4
2022_6_9_7;294.4
2022_6_9_8;365.2000000000001
2022_6_9_9;212.8
2022_6_9_10;168.3
2022_6_9_11;174.2
2022_6_9_12;209.6
2022_6_9_13;209.8
2022_6_9_14;239.9
2022_6_9_15;278
2022_6_9_16;306
2022_6_9_17;321.90000000000003
2022_6_9_18;202.7
2022_6_9_19;120.9
2022_6_9_20;95.3
2022_6_9_21;90
2022_6_9_22;82.69999999999999
2022_6_9_23;59.8
2022_6_10_0;20.9
2022_6_10_1;2.6
2022_6_10_2;1.3
2022_6_10_3;1.4
2022_6_10_4;2.5
2022_6_10_5;16.299999999999997
2022_6_10_6;74
2022_6_10_7;224.9
2022_6_10_8;289.8
2022_6_10_9;189.5
2022_6_10_10;161.8
2022_6_10_11;172.7
2022_6_10_12;215.1
2022_6_10_13;220.2
2022_6_10_14;246.3
2022_6_10_15;274.1
2022_6_10_16;276.4
2022_6_10_17;272.3
2022_6_10_18;198.9
2022_6_10_19;128.89999999999998
2022_6_10_20;98.8
2022_6_10_21;87.2
2022_6_10_22;90.7
2022_6_10_23;93.2
2022_6_11_0;40.9
2022_6_11_1;7.9
2022_6_11_2;3.6
2022_6_11_3;2.7
2022_6_11_4;2.8
2022_6_11_5;5.1000000000000005
2022_6_11_6;14.6
2022_6_11_7;34.7
2022_6_11_8;65.5
2022_6_11_9;92.5
2022_6_11_10;111.5
2022_6_11_11;136.1
2022_6_11_12;154.70000000000002
2022_6_11_13;166.4
2022_6_11_14;165.20000000000002
2022_6_11_15;160.3
2022_6_11_16;157.1
2022_6_11_17;153.10000000000002
2022_6_11_18;130.89999999999998
2022_6_11_19;106.3
2022_6_11_20;88
2022_6_11_21;81.9
2022_6_11_22;87.6
2022_6_11_23;99.4
2022_6_12_0;46
2022_6_12_1;8
2022_6_12_2;3.9
2022_6_12_3;3.3
2022_6_12_4;3.4
2022_6_12_5;4.4
2022_6_12_6;5.5
2022_6_12_7;15.9
2022_6_12_8;33.4
2022_6_12_9;56.3
2022_6_12_10;74.89999999999999
2022_6_12_11;100.5
2022_6_12_12;117.9
2022_6_12_13;125.7
2022_6_12_14;122
2022_6_12_15;119.4
2022_6_12_16;117.5
2022_6_12_17;117.8
2022_6_12_18;103.5
2022_6_12_19;94.7
2022_6_12_20;84.8
2022_6_12_21;72.2
2022_6_12_22;60.6
2022_6_12_23;45.900000000000006
2022_6_13_0;14.6
2022_6_13_1;1.8
2022_6_13_2;0.6
2022_6_13_3;0.7
2022_6_13_4;1.7
2022_6_13_5;17
2022_6_13_6;88.1
2022_6_13_7;267.1
2022_6_13_8;321
2022_6_13_9;189.1
2022_6_13_10;155.20000000000002
2022_6_13_11;161.1
2022_6_13_12;192.2
2022_6_13_13;189.1
2022_6_13_14;219.6
2022_6_13_15;258.7
2022_6_13_16;284.5
2022_6_13_17;299
2022_6_13_18;180.9
2022_6_13_19;100.3
2022_6_13_20;75.80000000000001
2022_6_13_21;67.8
2022_6_13_22;56.7
2022_6_13_23;35.3
2022_6_14_0;10.9
2022_6_14_1;1.2
2022_6_14_2;0.5
2022_6_14_3;0.6
2022_6_14_4;1.5
2022_6_14_5;17
2022_6_14_6;94.3
2022_6_14_7;294.70000000000005
2022_6_14_8;358.8
2022_6_14_9;208.6
2022_6_14_10;163.5
2022_6_14_11;168.9
2022_6_14_12;206.4
2022_6_14_13;204.9
2022_6_14_14;231.8
2022_6_14_15;268.9
2022_6_14_16;300.20000000000005
2022_6_14_17;322.29999999999995
2022_6_14_18;197.5
2022_6_14_19;110.8
2022_6_14_20;80.19999999999999
2022_6_14_21;72.8
2022_6_14_22;68.4
2022_6_14_23;51.4
2022_6_15_0;15.2
2022_6_15_1;1.5
2022_6_15_2;0.6
2022_6_15_3;0.7
2022_6_15_4;1.7
2022_6_15_5;16.1
2022_6_15_6;84.7
2022_6_15_7;254.80000000000004
2022_6_15_8;316.8
2022_6_15_9;196.1
2022_6_15_10;161.5
2022_6_15_11;170.2
2022_6_15_12;209.3
2022_6_15_13;202.4
2022_6_15_14;223.8
2022_6_15_15;250
2022_6_15_16;273.1
2022_6_15_17;287.1
2022_6_15_18;183.3
2022_6_15_19;108.4
2022_6_15_20;85.1
2022_6_15_21;79.10000000000001
2022_6_15_22;73.7
2022_6_15_23;48.8
2022_6_16_0;15.1
2022_6_16_1;1.6
2022_6_16_2;0.6
2022_6_16_3;0.8
2022_6_16_4;1.8
2022_6_16_5;16.6
2022_6_16_6;89.1
2022_6_16_7;273.8
2022_6_16_8;341.5
2022_6_16_9;210.2
2022_6_16_10;170.1
2022_6_16_11;174
2022_6_16_12;206
2022_6_16_13;202.2
2022_6_16_14;230.2
2022_6_16_15;266.40000000000003
2022_6_16_16;292.3
2022_6_16_17;311.5
2022_6_16_18;201.3
2022_6_16_19;121.9
2022_6_16_20;98.6
2022_6_16_21;93.6
2022_6_16_22;84.4
2022_6_16_23;63
2022_6_17_0;21.5
2022_6_17_1;2.6
2022_6_17_2;1.2
2022_6_17_3;1.2
2022_6_17_4;2.2
2022_6_17_5;15.7
2022_6_17_6;71.4
2022_6_17_7;208.8
2022_6_17_8;266.40000000000003
2022_6_17_9;180.4
2022_6_17_10;159.1
2022_6_17_11;173.5
2022_6_17_12;211.3
2022_6_17_13;213.7
2022_6_17_14;234.5
2022_6_17_15;252.2
2022_6_17_16;256.29999999999995
2022_6_17_17;254.30000000000004
2022_6_17_18;194
2022_6_17_19;133.1
2022_6_17_20;103.4
2022_6_17_21;96.1
2022_6_17_22;124.1
2022_6_17_23;94.3
2022_6_18_0;41.8
2022_6_18_1;8.9
2022_6_18_2;3.6
2022_6_18_3;2.9
2022_6_18_4;3.1
2022_6_18_5;5.3
2022_6_18_6;16
2022_6_18_7;35.6
2022_6_18_8;66.19999999999999
2022_6_18_9;93.4
2022_6_18_10;111.5
2022_6_18_11;133.70000000000002
2022_6_18_12;149
2022_6_18_13;156.79999999999998
2022_6_18_14;155.6
2022_6_18_15;149.29999999999998
2022_6_18_16;146.4
2022_6_18_17;143
2022_6_18_18;125.2
2022_6_18_19;101.5
2022_6_18_20;88.7
2022_6_18_21;83.7
2022_6_18_22;85
2022_6_18_23;86.1
2022_6_19_0;40.1
2022_6_19_1;7.2
2022_6_19_2;3.7
2022_6_19_3;3
2022_6_19_4;3.3
2022_6_19_5;4.5
2022_6_19_6;5.4
2022_6_19_7;15.5
2022_6_19_8;32.4
2022_6_19_9;54
2022_6_19_10;72.1
2022_6_19_11;96.5
2022_6_19_12;109.8
2022_6_19_13;117.8
2022_6_19_14;116.8
2022_6_19_15;116.1
2022_6_19_16;122.3
2022_6_19_17;114.9
2022_6_19_18;94.5
2022_6_19_19;85.5
2022_6_19_20;78.5
2022_6_19_21;67.4
2022_6_19_22;56.3
2022_6_19_23;34.9
2022_6_20_0;11.4
2022_6_20_1;1.3
2022_6_20_2;0.5
2022_6_20_3;0.6
2022_6_20_4;1.6
2022_6_20_5;17
2022_6_20_6;86.9
2022_6_20_7;251.1
2022_6_20_8;302.20000000000005
2022_6_20_9;182.6
2022_6_20_10;155.20000000000002
2022_6_20_11;165.39999999999998
2022_6_20_12;193.3
2022_6_20_13;191.4
2022_6_20_14;214.4
2022_6_20_15;244.4
2022_6_20_16;267.40000000000003
2022_6_20_17;286.8
2022_6_20_18;169.8
2022_6_20_19;99
2022_6_20_20;74.80000000000001
2022_6_20_21;67.10000000000001
2022_6_20_22;57.3
2022_6_20_23;37.6
2022_6_21_0;12.5
2022_6_21_1;1.2
2022_6_21_2;0.6
2022_6_21_3;0.6
2022_6_21_4;1.7
2022_6_21_5;17
2022_6_21_6;91.7
2022_6_21_7;272.1
2022_6_21_8;333.2
2022_6_21_9;199.4
2022_6_21_10;162.1
2022_6_21_11;171.8
2022_6_21_12;202.7
2022_6_21_13;198.8
2022_6_21_14;223.2
2022_6_21_15;252
2022_6_21_16;282.2
2022_6_21_17;309.6
2022_6_21_18;188
2022_6_21_19;106
2022_6_21_20;81.19999999999999
2022_6_21_21;74.39999999999999
2022_6_21_22;70.7
2022_6_21_23;45.8
2022_6_22_0;14.8
2022_6_22_1;1.6
2022_6_22_2;0.8
2022_6_22_3;0.8
2022_6_22_4;1.7
2022_6_22_5;16.299999999999997
2022_6_22_6;81.9
2022_6_22_7;237.1
2022_6_22_8;293.6
2022_6_22_9;188.6
2022_6_22_10;160.1
2022_6_22_11;173.2
2022_6_22_12;208.2
2022_6_22_13;203.3
2022_6_22_14;218
2022_6_22_15;239.6
2022_6_22_16;263.6
2022_6_22_17;277.8
2022_6_22_18;180.3
2022_6_22_19;108.6
2022_6_22_20;84.6
2022_6_22_21;78.89999999999999
2022_6_22_22;79.2
2022_6_22_23;55.3
2022_6_23_0;18
2022_6_23_1;2.1
2022_6_23_2;0.9
2022_6_23_3;1
2022_6_23_4;1.8
2022_6_23_5;16.6
2022_6_23_6;86.8
2022_6_23_7;257.5
2022_6_23_8;321.2
2022_6_23_9;198.4
2022_6_23_10;167.4
2022_6_23_11;174
2022_6_23_12;206.7
2022_6_23_13;205.4
2022_6_23_14;224.5
2022_6_23_15;251.7
2022_6_23_16;274.4
2022_6_23_17;291.9
2022_6_23_18;193.7
2022_6_23_19;121.6
2022_6_23_20;98.3
2022_6_23_21;95.2
2022_6_23_22;86.1
2022_6_23_23;67.10000000000001
2022_6_24_0;24.2
2022_6_24_1;3.2
2022_6_24_2;1.7
2022_6_24_3;1.6
2022_6_24_4;2.5
2022_6_24_5;16
2022_6_24_6;71
2022_6_24_7;200.5
2022_6_24_8;262.29999999999995
2022_6_24_9;179.9
2022_6_24_10;160.1
2022_6_24_11;175.3
2022_6_24_12;212.3
2022_6_24_13;212.6
2022_6_24_14;229.6
2022_6_24_15;249.5
2022_6_24_16;254.4
2022_6_24_17;255.9
2022_6_24_18;191.7
2022_6_24_19;129.70000000000002
2022_6_24_20;102.8
2022_6_24_21;92.4
2022_6_24_22;92.2
2022_6_24_23;84.3
2022_6_25_0;40.8
2022_6_25_1;7.9
2022_6_25_2;4.5
2022_6_25_3;3.8
2022_6_25_4;3.4
2022_6_25_5;5.5
2022_6_25_6;15.9
2022_6_25_7;35.1
2022_6_25_8;64.8
2022_6_25_9;93.7
2022_6_25_10;112.8
2022_6_25_11;134.20000000000002
2022_6_25_12;150
2022_6_25_13;161.39999999999998
2022_6_25_14;163.20000000000002
2022_6_25_15;162.6
2022_6_25_16;160.39999999999998
2022_6_25_17;155.79999999999998
2022_6_25_18;133.5
2022_6_25_19;109.4
2022_6_25_20;92.1
2022_6_25_21;79.69999999999999
2022_6_25_22;79.39999999999999
2022_6_25_23;75.39999999999999
2022_6_26_0;39.1
2022_6_26_1;8
2022_6_26_2;4.4
2022_6_26_3;3.7
2022_6_26_4;3.5
2022_6_26_5;4.3
2022_6_26_6;5.7
2022_6_26_7;17.4
2022_6_26_8;34.6
2022_6_26_9;58
2022_6_26_10;78.10000000000001
2022_6_26_11;100.5
2022_6_26_12;118.9
2022_6_26_13;130
2022_6_26_14;130.1
2022_6_26_15;126
2022_6_26_16;122.9
2022_6_26_17;122.6
2022_6_26_18;105.1
2022_6_26_19;92.3
2022_6_26_20;80
2022_6_26_21;69.4
2022_6_26_22;57.6
2022_6_26_23;43.7
2022_6_27_0;14.1
2022_6_27_1;1.6
2022_6_27_2;0.8
2022_6_27_3;0.8
2022_6_27_4;1.7
2022_6_27_5;16.7
2022_6_27_6;82.60000000000001
2022_6_27_7;229.6
2022_6_27_8;278.5
2022_6_27_9;169.4
2022_6_27_10;147.10000000000002
2022_6_27_11;160.89999999999998
2022_6_27_12;185.1
2022_6_27_13;183.5
2022_6_27_14;207.3
2022_6_27_15;232.9
2022_6_27_16;250.9
2022_6_27_17;267.5
2022_6_27_18;162.70000000000002
2022_6_27_19;93
2022_6_27_20;71.6
2022_6_27_21;66
2022_6_27_22;59.2
2022_6_27_23;40.7
2022_6_28_0;13.2
2022_6_28_1;1.5
2022_6_28_2;0.7
2022_6_28_3;0.7
2022_6_28_4;1.6
2022_6_28_5;17
2022_6_28_6;88.8
2022_6_28_7;252.7
2022_6_28_8;311.2
2022_6_28_9;190.6
2022_6_28_10;162.3
2022_6_28_11;172.7
2022_6_28_12;200.1
2022_6_28_13;198.7
2022_6_28_14;215.5
2022_6_28_15;239.1
2022_6_28_16;270.3
2022_6_28_17;301.8
2022_6_28_18;189.9
2022_6_28_19;112.1
2022_6_28_20;85.5
2022_6_28_21;78
2022_6_28_22;69.5
2022_6_28_23;48.2
2022_6_29_0;15.9
2022_6_29_1;1.7
2022_6_29_2;0.8
2022_6_29_3;0.8
2022_6_29_4;1.8
2022_6_29_5;16.400000000000002
2022_6_29_6;78.7
2022_6_29_7;217.3
2022_6_29_8;269.4
2022_6_29_9;179.60000000000002
2022_6_29_10;157.9
2022_6_29_11;175.1
2022_6_29_12;207.4
2022_6_29_13;200
2022_6_29_14;208.3
2022_6_29_15;224.8
2022_6_29_16;248.9
2022_6_29_17;269.5
2022_6_29_18;179.5
2022_6_29_19;112
2022_6_29_20;89.7
2022_6_29_21;85.2
2022_6_29_22;78.10000000000001
2022_6_29_23;54.8
2022_6_30_0;17.8
2022_6_30_1;1.7
2022_6_30_2;0.7
2022_6_30_3;0.8
2022_6_30_4;1.8
2022_6_30_5;16.9
2022_6_30_6;85.5
2022_6_30_7;240.1
2022_6_30_8;299.4
2022_6_30_9;189.5
2022_6_30_10;160.89999999999998
2022_6_30_11;173.3
2022_6_30_12;202
2022_6_30_13;199.9
2022_6_30_14;216.4
2022_6_30_15;239
2022_6_30_16;268.5
2022_6_30_17;294.9
2022_6_30_18;205.4
2022_6_30_19;126.9
2022_6_30_20;101
2022_6_30_21;91.9
2022_6_30_22;81
2022_6_30_23;57.4
2022_7_1_0;19.9
2022_7_1_1;2.4
2022_7_1_2;1.3
2022_7_1_3;1.7
2022_7_1_4;2.8
2022_7_1_5;15.9
2022_7_1_6;68.6
2022_7_1_7;180.10000000000002
2022_7_1_8;229.6
2022_7_1_9;167.4
2022_7_1_10;154.70000000000002
2022_7_1_11;174
2022_7_1_12;203.6
2022_7_1_13;207.2
2022_7_1_14;222.3
2022_7_1_15;241
2022_7_1_16;245.5
2022_7_1_17;250.1
2022_7_1_18;192.2
2022_7_1_19;130.39999999999998
2022_7_1_20;104
2022_7_1_21;95.5
2022_7_1_22;97.1
2022_7_1_23;83.6
2022_7_2_0;37.900000000000006
2022_7_2_1;7.1000000000000005
2022_7_2_2;3.4
2022_7_2_3;2.9
2022_7_2_4;3
2022_7_2_5;5.4
2022_7_2_6;15.2
2022_7_2_7;33.9
2022_7_2_8;62.6
2022_7_2_9;91.4
2022_7_2_10;111.2
2022_7_2_11;136.8
2022_7_2_12;155.29999999999998
2022_7_2_13;167.5
2022_7_2_14;166.5
2022_7_2_15;161.3
2022_7_2_16;155
2022_7_2_17;148
2022_7_2_18;123.7
2022_7_2_19;99.7
2022_7_2_20;86.5
2022_7_2_21;78.60000000000001
2022_7_2_22;84.2
2022_7_2_23;83.2
2022_7_3_0;39.4
2022_7_3_1;7.7
2022_7_3_2;3.6
2022_7_3_3;2.9
2022_7_3_4;3.4
2022_7_3_5;5.5
2022_7_3_6;7.9
2022_7_3_7;16.299999999999997
2022_7_3_8;33.8
2022_7_3_9;55.3
2022_7_3_10;73.4
2022_7_3_11;98.1
2022_7_3_12;115.1
2022_7_3_13;128
2022_7_3_14;129.8
2022_7_3_15;122.9
2022_7_3_16;112.7
2022_7_3_17;110.7
2022_7_3_18;97.7
2022_7_3_19;87.1
2022_7_3_20;80.5
2022_7_3_21;70.2
2022_7_3_22;58.8
2022_7_3_23;43.8
2022_7_4_0;15.5
2022_7_4_1;1.9
2022_7_4_2;1.1
2022_7_4_3;1.2
2022_7_4_4;2.1
2022_7_4_5;17.8
2022_7_4_6;82.4
2022_7_4_7;205.5
2022_7_4_8;239.5
2022_7_4_9;150.60000000000002
2022_7_4_10;137.3
2022_7_4_11;152.7
2022_7_4_12;177.1
2022_7_4_13;177.3
2022_7_4_14;192.1
2022_7_4_15;208.9
2022_7_4_16;235.4
2022_7_4_17;261.90000000000003
2022_7_4_18;165.39999999999998
2022_7_4_19;98.9
2022_7_4_20;79.10000000000001
2022_7_4_21;70.2
2022_7_4_22;60.400000000000006
2022_7_4_23;42.1
2022_7_5_0;14.8
2022_7_5_1;1.5
2022_7_5_2;0.8
2022_7_5_3;0.8
2022_7_5_4;1.7
2022_7_5_5;17.3
2022_7_5_6;86
2022_7_5_7;224.5
2022_7_5_8;274
2022_7_5_9;170.9
2022_7_5_10;145.5
2022_7_5_11;161.6
2022_7_5_12;187.8
2022_7_5_13;185
2022_7_5_14;198.9
2022_7_5_15;219.7
2022_7_5_16;256.40000000000003
2022_7_5_17;293.7
2022_7_5_18;189.2
2022_7_5_19;106.5
2022_7_5_20;83.3
2022_7_5_21;77.8
2022_7_5_22;68.4
2022_7_5_23;48.8
2022_7_6_0;16.5
2022_7_6_1;1.8
2022_7_6_2;0.9
2022_7_6_3;0.8
2022_7_6_4;1.9
2022_7_6_5;16.8
2022_7_6_6;76.7
2022_7_6_7;189.5
2022_7_6_8;233.1
2022_7_6_9;162.3
2022_7_6_10;143.9
2022_7_6_11;161.5
2022_7_6_12;189
2022_7_6_13;185
2022_7_6_14;193.6
2022_7_6_15;209.5
2022_7_6_16;236.8
2022_7_6_17;262.6
2022_7_6_18;178.79999999999998
2022_7_6_19;105.8
2022_7_6_20;83.9
2022_7_6_21;78.89999999999999
2022_7_6_22;72.3
2022_7_6_23;50
2022_7_7_0;16.6
2022_7_7_1;1.7
2022_7_7_2;0.9
2022_7_7_3;0.9
2022_7_7_4;2
2022_7_7_5;16.8
2022_7_7_6;81.60000000000001
2022_7_7_7;211.5
2022_7_7_8;266.1
2022_7_7_9;172.2
2022_7_7_10;147.60000000000002
2022_7_7_11;164.6
2022_7_7_12;189.4
2022_7_7_13;186.6
2022_7_7_14;197.6
2022_7_7_15;222
2022_7_7_16;255.4
2022_7_7_17;287.9
2022_7_7_18;197.7
2022_7_7_19;123.5
2022_7_7_20;97.7
2022_7_7_21;93.5
2022_7_7_22;83.9
2022_7_7_23;76.39999999999999
2022_7_8_0;25.5
2022_7_8_1;2.8
2022_7_8_2;1.3
2022_7_8_3;1.6
2022_7_8_4;2.9
2022_7_8_5;16.9
2022_7_8_6;64.4
2022_7_8_7;148.10000000000002
2022_7_8_8;185.5
2022_7_8_9;145.2
2022_7_8_10;138
2022_7_8_11;154.4
2022_7_8_12;181
2022_7_8_13;187.1
2022_7_8_14;197.4
2022_7_8_15;216.1
2022_7_8_16;224.4
2022_7_8_17;231.3
2022_7_8_18;179.9
2022_7_8_19;122.9
2022_7_8_20;99.9
2022_7_8_21;90.6
2022_7_8_22;85.9
2022_7_8_23;79.69999999999999
2022_7_9_0;43.4
2022_7_9_1;8.8
2022_7_9_2;3.6
2022_7_9_3;3
2022_7_9_4;3
2022_7_9_5;5.3
2022_7_9_6;15.6
2022_7_9_7;34.8
2022_7_9_8;60.1
2022_7_9_9;85.4
2022_7_9_10;105.4
2022_7_9_11;126.3
2022_7_9_12;143.2
2022_7_9_13;159.6
2022_7_9_14;164.5
2022_7_9_15;157
2022_7_9_16;148.60000000000002
2022_7_9_17;140.1
2022_7_9_18;116.9
2022_7_9_19;95.2
2022_7_9_20;83.8
2022_7_9_21;77.2
2022_7_9_22;79.10000000000001
2022_7_9_23;86.3
2022_7_10_0;42.7
2022_7_10_1;9.8
2022_7_10_2;3.7
2022_7_10_3;3.1
2022_7_10_4;3.3
2022_7_10_5;4.9
2022_7_10_6;5.8
2022_7_10_7;15.5
2022_7_10_8;31
2022_7_10_9;52
2022_7_10_10;71.4
2022_7_10_11;94.1
2022_7_10_12;110
2022_7_10_13;125.4
2022_7_10_14;127.1
2022_7_10_15;115.9
2022_7_10_16;111.8
2022_7_10_17;111.1
2022_7_10_18;95.9
2022_7_10_19;81.4
2022_7_10_20;74.7
2022_7_10_21;66.19999999999999
2022_7_10_22;55.3
2022_7_10_23;42.7
2022_7_11_0;18
2022_7_11_1;2.1
2022_7_11_2;0.7
2022_7_11_3;0.7
2022_7_11_4;1.7
2022_7_11_5;16.2
2022_7_11_6;74.39999999999999
2022_7_11_7;169.5
2022_7_11_8;200.2
2022_7_11_9;129.1
2022_7_11_10;115.7
2022_7_11_11;141.5
2022_7_11_12;152.9
2022_7_11_13;144.4
2022_7_11_14;157.1
2022_7_11_15;180.6
2022_7_11_16;211.7
2022_7_11_17;242
2022_7_11_18;156.29999999999998
2022_7_11_19;93.4
2022_7_11_20;73
2022_7_11_21;66.4
2022_7_11_22;55.7
2022_7_11_23;37.3
2022_7_12_0;12.8
2022_7_12_1;1.4
2022_7_12_2;0.7
2022_7_12_3;0.8
2022_7_12_4;1.8
2022_7_12_5;16.5
2022_7_12_6;79.2
2022_7_12_7;187.9
2022_7_12_8;222.3
2022_7_12_9;146
2022_7_12_10;125.2
2022_7_12_11;137.1
2022_7_12_12;157.5
2022_7_12_13;158.79999999999998
2022_7_12_14;166.6
2022_7_12_15;186.7
2022_7_12_16;224.1
2022_7_12_17;264.29999999999995
2022_7_12_18;171.2
2022_7_12_19;98.4
2022_7_12_20;78.8
2022_7_12_21;74.89999999999999
2022_7_12_22;65.8
2022_7_12_23;44.2
2022_7_13_0;15.2
2022_7_13_1;1.6
2022_7_13_2;0.7
2022_7_13_3;0.7
2022_7_13_4;1.9
2022_7_13_5;16.1
2022_7_13_6;69.6
2022_7_13_7;155.6
2022_7_13_8;189
2022_7_13_9;136.1
2022_7_13_10;123.2
2022_7_13_11;136.3
2022_7_13_12;156.79999999999998
2022_7_13_13;158.5
2022_7_13_14;160.5
2022_7_13_15;176.3
2022_7_13_16;204.7
2022_7_13_17;235.2
2022_7_13_18;160.5
2022_7_13_19;98.9
2022_7_13_20;81.19999999999999
2022_7_13_21;75.80000000000001
2022_7_13_22;66.3
2022_7_13_23;46.4
2022_7_14_0;15.6
2022_7_14_1;1.8
2022_7_14_2;0.8
2022_7_14_3;0.8
2022_7_14_4;1.9
2022_7_14_5;16.1
2022_7_14_6;74.1
2022_7_14_7;171
2022_7_14_8;207.1
2022_7_14_9;142.8
2022_7_14_10;124.9
2022_7_14_11;137.3
2022_7_14_12;157
2022_7_14_13;156.70000000000002
2022_7_14_14;166.2
2022_7_14_15;188.2
2022_7_14_16;220.1
2022_7_14_17;253.6
2022_7_14_18;176.7
2022_7_14_19;111.2
2022_7_14_20;90.9
2022_7_14_21;85.1
2022_7_14_22;82.19999999999999
2022_7_14_23;68.2
2022_7_15_0;21.5
2022_7_15_1;2.5
2022_7_15_2;1.1
2022_7_15_3;1.3
2022_7_15_4;2.6
2022_7_15_5;15.6
2022_7_15_6;59.7
2022_7_15_7;121.3
2022_7_15_8;151.4
2022_7_15_9;126.7
2022_7_15_10;122.6
2022_7_15_11;136.4
2022_7_15_12;157.1
2022_7_15_13;163.1
2022_7_15_14;170.4
2022_7_15_15;184.6
2022_7_15_16;201.7
2022_7_15_17;215.8
2022_7_15_18;172.7
2022_7_15_19;117.5
2022_7_15_20;92.5
2022_7_15_21;82.3
2022_7_15_22;88.9
2022_7_15_23;87.9
2022_7_16_0;34.6
2022_7_16_1;6
2022_7_16_2;2.8
2022_7_16_3;2.2
2022_7_16_4;2.4
2022_7_16_5;5.3
2022_7_16_6;14.7
2022_7_16_7;32.5
2022_7_16_8;57.5
2022_7_16_9;84.8
2022_7_16_10;104.3
2022_7_16_11;125.5
2022_7_16_12;139.6
2022_7_16_13;148.9
2022_7_16_14;151.79999999999998
2022_7_16_15;146.1
2022_7_16_16;138.7
2022_7_16_17;134.20000000000002
2022_7_16_18;115.6
2022_7_16_19;98.8
2022_7_16_20;85.8
2022_7_16_21;77.8
2022_7_16_22;79.10000000000001
2022_7_16_23;78.89999999999999
2022_7_17_0;38.9
2022_7_17_1;11.5
2022_7_17_2;5.1000000000000005
2022_7_17_3;2.4
2022_7_17_4;2.8
2022_7_17_5;4
2022_7_17_6;5.8
2022_7_17_7;15.5
2022_7_17_8;31.3
2022_7_17_9;53.5
2022_7_17_10;72
2022_7_17_11;94.5
2022_7_17_12;107.4
2022_7_17_13;117.3
2022_7_17_14;115.9
2022_7_17_15;112.9
2022_7_17_16;110
2022_7_17_17;105.3
2022_7_17_18;93.8
2022_7_17_19;82.8
2022_7_17_20;78.2
2022_7_17_21;69.9
2022_7_17_22;61.5
2022_7_17_23;43.5
2022_7_18_0;17.1
2022_7_18_1;4.9
2022_7_18_2;1.9
2022_7_18_3;0.8
2022_7_18_4;1.9
2022_7_18_5;15.5
2022_7_18_6;66
2022_7_18_7;133.39999999999998
2022_7_18_8;150.60000000000002
2022_7_18_9;101
2022_7_18_10;91.8
2022_7_18_11;102.3
2022_7_18_12;115.6
2022_7_18_13;115.8
2022_7_18_14;119.6
2022_7_18_15;131.8
2022_7_18_16;159.70000000000002
2022_7_18_17;188.2
2022_7_18_18;124.5
2022_7_18_19;77.7
2022_7_18_20;63
2022_7_18_21;55.2
2022_7_18_22;49.4
2022_7_18_23;35.1
2022_7_19_0;15.5
2022_7_19_1;4.7
2022_7_19_2;1.7
2022_7_19_3;1.1
2022_7_19_4;1.9
2022_7_19_5;15.9
2022_7_19_6;66.69999999999999
2022_7_19_7;135.8
2022_7_19_8;153.9
2022_7_19_9;102.3
2022_7_19_10;86.8
2022_7_19_11;93.8
2022_7_19_12;106.3
2022_7_19_13;104.9
2022_7_19_14;105.4
2022_7_19_15;115.7
2022_7_19_16;146.4
2022_7_19_17;178.5
2022_7_19_18;125.5
2022_7_19_19;78.60000000000001
2022_7_19_20;63.2
2022_7_19_21;57.9
2022_7_19_22;55.9
2022_7_19_23;40.9
2022_7_20_0;15.9
2022_7_20_1;3.8
2022_7_20_2;1.8
2022_7_20_3;1.5
2022_7_20_4;2.8
2022_7_20_5;16.2
2022_7_20_6;63.70000000000001
2022_7_20_7;124.1
2022_7_20_8;148.60000000000002
2022_7_20_9;107.5
2022_7_20_10;95.6
2022_7_20_11;105.5
2022_7_20_12;120.3
2022_7_20_13;122.6
2022_7_20_14;128
2022_7_20_15;141
2022_7_20_16;163.89999999999998
2022_7_20_17;192.1
2022_7_20_18;131.8
2022_7_20_19;80.69999999999999
2022_7_20_20;64.8
2022_7_20_21;59.3
2022_7_20_22;54.9
2022_7_20_23;40
2022_7_21_0;16
2022_7_21_1;4.2
2022_7_21_2;1.8
2022_7_21_3;1.5
