userstopcode;userstopareacode;stopname
46104002;zwlhew;Zwolle, Het Engelse Werk
46104003;zwlona;Zwolle, Oranje Nassaulaan
46104004;zwlona;Zwolle, Oranje Nassaulaan
46104005;zwlkws;Zwolle, Koningin Wilhelminastraat
46104006;zwlkws;Zwolle, Koningin Wilhelminastraat
46104021;zwlkwp;Zwolle, Katwolderplein/Centrum
46104022;zwlkwp;Zwolle, Katwolderplein/Centrum
46104027;zwlvoo;Zwolle, Voorsterpoort
46104028;zwlvoo;Zwolle, Voorsterpoort
46104030;zwlwaa;Zwolle, Waallaan
46104031;zwlgri;Zwolle, Griegstraat
46104033;zwlwaa;Zwolle, Waallaan
46104040;zwlgri;Zwolle, Griegstraat
46109951;;Streckenpunkt kering zwlssh
46109952;;Streckenpunkt Hasselterweg tbv lijn 5
46109953;;Streckenpunkt Hasselterweg tbv lijn 5
46109954;;Streckenpunkt kering zwldel
46109955;;Streckenpunkt A28 tbv lijn 201/304/609
46110010;zwlkuy;Zwolle, Kuyerhuislaan
46110100;wytkro;Wijthmen, Kroesenallee
46110150;wytkro;Wijthmen, Kroesenallee
46110310;zwlmin;Zwolle, Mindenstraat
46110320;zwlmin;Zwolle, Mindenstraat
46110330;zwlmin;Zwolle, Mindenstraat
46110350;zwlwfs;Zwolle, Westfalenstraat
46110360;zwlwfs;Zwolle, Westfalenstraat
46110400;wytmar;Wijthmen, De Marslanden
46110750;heramb;Herfte, School De Ambelt
46112650;wytmar;Wijthmen, De Marslanden
46120010;genhav;Genne, Havezatheweg
46120020;genhav;Genne, Havezatheweg
46120050;zwlbhe;Zwolle, Bedrijvenpark Hessenpoort
46120060;zwlbhe;Zwolle, Bedrijvenpark Hessenpoort
46120090;zwlber;Zwolle, Bergkloosterweg
46120100;zwlben;Zwolle, Bentheimstraat
46120110;zwlben;Zwolle, Bentheimstraat
46120120;zwlvec;Zwolle, Vechtbrug
46120130;zwlvec;Zwolle, Vechtbrug
46120140;zwlber;Zwolle, Bergkloosterweg
46120160;zwlcpb;Zwolle, Campherbeeklaan
46120200;zwlcpb;Zwolle, Campherbeeklaan
46120210;zwlpom;Zwolle, Pommerenstraat
46120230;zwlpad;Zwolle, Paderbornstraat
46120240;zwlrav;Zwolle, Ravensburgstraat
46120290;zwlsie;Zwolle, Siegenstraat
46120300;zwlsie;Zwolle, Siegenstraat
46120410;zwlvec;Zwolle, Vechtbrug
46120430;genvec;Genne, Vechterstrand
46120440;genvec;Genne, Vechterstrand
46120450;gendoo;Genne, Doornweg/Vechtdijk
46120460;gendoo;Genne, Doornweg/Vechtdijk
46120470;genvij;Genne, Vijfhoekweg
46120480;genvij;Genne, Vijfhoekweg
46120490;gendas;Genne, Dashorstweg
46120500;gendas;Genne, Dashorstweg
46120510;genkli;Genne, Klinkerweg
46120520;genkli;Genne, Klinkerweg
46120530;gengli;Genne, Glinthuisweg
46120540;gengli;Genne, Glinthuisweg
46120560;genver;Genne, Verkavelingsweg
46120730;genver;Genne, Verkavelingsweg
46124590;zwlhll;Zwolle, Hazelaarlaan
46124600;zwlhll;Zwolle, Hazelaarlaan
46124610;zwlwbe;Zwolle, Wkc Berkum
46124620;zwlwbe;Zwolle, Wkc Berkum
46124710;zwlera;Zwolle, Erasmuslaan
46124720;zwlera;Zwolle, Erasmuslaan
46200010;zwlgor;Zwolle, Gorterstraat
46200020;zwlmtn;Zwolle, Martinetstraat
46200030;lenkoe;Lenthe, Koelmansstraat
46200040;zwlbml;Zwolle, Boormolen
46200050;hnojon;Heino, Jonkman
46200070;lenhag;Lenthe, Hagenweg
46200080;lenhag;Lenthe, Hagenweg
46200100;lengun;Lenthe, De Gunne
46200110;lengun;Lenthe, De Gunne
46200120;lendej;Lenthe, De Jong
46200130;lendej;Lenthe, De Jong
46200400;lenkoe;Lenthe, Koelmansstraat
46204001;zwlspo;Zwolle, Sportlaan
46204010;hhomol;Hoonhorst, Molenhoek
46210020;hhomar;Hoonhorst, Marsweg
46210030;hhomar;Hoonhorst, Marsweg
46210060;hhokla;Hoonhorst, Klapvoortweg
46210070;hhokla;Hoonhorst, Klapvoortweg
46210080;emnoud;Emmen, Oudeweg
46210090;emnoud;Emmen, Oudeweg
46210110;emnemm;Emmen, Emmerweg
46210120;emnemm;Emmen, Emmerweg
46210130;dalons;Dalfsen, Overweg NS
46210140;hhocen;Hoonhorst, Centrum
46210150;hhocen;Hoonhorst, Centrum
46211001;zwldma;Zwolle, De Markte
46211002;zwldma;Zwolle, De Markte
46214000;hhomol;Hoonhorst, Molenhoek
46250030;bkbmwi;Balkbrug, Maatschappij Wijk
46250040;bkbmwi;Balkbrug, Maatschappij Wijk
46250050;whrtol;Witharen, Tolhuisweg
46250060;whrtol;Witharen, Tolhuisweg
46250070;whrdha;Witharen, De Haar
46250080;whrdha;Witharen, De Haar
46250090;ommwhp;Ommen, Weth. Petterweg
46250100;ommwhp;Ommen, Weth. Petterweg
46250110;ommtus;Ommen, Tussenweg
46250120;ommtus;Ommen, Tussenweg
46250130;ommems;Ommen, Emslandweg
46250140;ommems;Ommen, Emslandweg
46291001;brubro;Brucht, Broekdijk
46291002;brubro;Brucht, Broekdijk
46300050;hnoree;Heino, 't Reelaer
46300110;ldhsch;Lierderholthuis, School
46300120;ldhsch;Lierderholthuis, School
46300130;ldhbru;Lierderholthuis, Brug
46300140;ldhbru;Lierderholthuis, Brug
46300150;ldhkap;Lierderholthuis, Kappert
46300160;ldhkap;Lierderholthuis, Kappert
46300180;hnokas;Heino, Kastanje
46300200;hnowol;Heino, Wolfkamp
46300210;hnosta;Heino, Station
46300230;hnokie;Heino, Kiezebos
46300240;hnokie;Heino, Kiezebos
46300250;hnowol;Heino, Wolfkamp
46300270;hnobri;Heino, Brinkzicht
46300280;hnobri;Heino, Brinkzicht
46300300;hnokla;Heino, Klaproos
46300350;hnokla;Heino, Klaproos
46300390;hnomar;Heino, Marktplein
46300400;hnomar;Heino, Marktplein
46300450;hnomar;Heino, Marktplein
46300500;hnovdc;Heino, Van der Capellenweg
46300520;hnohaa;Heino, De Haarstraat
46300550;hnovdc;Heino, Van der Capellenweg
46300600;hnojon;Heino, Jonkman
46301000;hnopru;Heino, Prunus
46301050;hnopru;Heino, Prunus
46301120;hseind;Hasselt, Industrieweg
46302010;hsezan;Hasselt, Zandvoortweg
46302030;hsedba;Hasselt, De Baak
46302040;hsedba;Hasselt, De Baak
46302050;hseker;Hasselt, Kerspel
46302060;hseker;Hasselt, Kerspel
46302070;hsespo;Hasselt, Sportvelden
46302080;hsespo;Hasselt, Sportvelden
46302090;hsesta;Hasselt, Stadsweg
46302100;hsesta;Hasselt, Stadsweg
46302110;hseind;Hasselt, Industrieweg
46302120;hsetwe;Hasselt, Ter Wee
46302130;hsetwe;Hasselt, Ter Wee
46302140;hsemat;Hasselt, Matenweg
46302150;hsehsp;Hasselt, Hasselterpand
46302160;hsehsp;Hasselt, Hasselterpand
46302170;hsemat;Hasselt, Matenweg
46309902;;NPIVU Hasselt, Centrum (n)
46310100;dalons;Dalfsen, Overweg NS
46310150;dalgem;Dalfsen, Gemeentehuis
46310300;dalgem;Dalfsen, Gemeentehuis
46310350;dalple;Dalfsen, Pleijendal
46310450;daltre;Dalfsen, De Trefkoele
46310500;dalple;Dalfsen, Pleijendal
46310600;daltre;Dalfsen, De Trefkoele
46310610;daltre;Dalfsen, De Trefkoele
46310620;daltre;Dalfsen, De Trefkoele
46310750;dalbon;Dalfsen, Bontekamp
46310900;dalbon;Dalfsen, Bontekamp
46311005;dalsta;Dalfsen, Station
46311010;dalfor;Dalfsen, Foreco
46311011;dalfor;Dalfsen, Foreco
46311013;dalkor;Dalfsen, Kortersweg
46311014;dalkor;Dalfsen, Kortersweg
46311050;dalpol;Dalfsen, Polhaarweg
46311100;dalpol;Dalfsen, Polhaarweg
46311130;dalhae;Dalfsen, Haersolteweg
46311140;dalhae;Dalfsen, Haersolteweg
46311155;dalhui;Dalfsen, Huize Gerner
46311160;dalhui;Dalfsen, Huize Gerner
46311170;dallan;Dalfsen, Langkamp
46311180;dallan;Dalfsen, Langkamp
46311190;dalwzc;Dalfsen, WZC Rosengaerde
46311200;dalwzc;Dalfsen, WZC Rosengaerde
46311500;dalkie;Dalfsen, Kievitsbloem
46311550;dalkie;Dalfsen, Kievitsbloem
46319005;dalst1;Dalfsen, Station
46319951;;Streckenpunkt Lichtmis tbv lijn 217
46319952;;Streckenpunkt Lichtmis tbv lijn 217
46320010;genhrd;Genne, Het Rode Dak
46320020;genhrd;Genne, Het Rode Dak
46320040;genboe;Genne, Boerderijweg
46320050;genboe;Genne, Boerderijweg
46320060;hsezan;Hasselt, Zandvoortweg
46330010;nlsnoo;Nieuwleusen, Noorderpark
46350010;bkbwoe;Balkbrug, Woestenweg
46350020;bkbwoe;Balkbrug, Woestenweg
46350380;bkbriv;Balkbrug, Rijksinst. Veldzicht
46350390;bkbriv;Balkbrug, Rijksinst. Veldzicht
46350500;bkbkol;Balkbrug, Koloniedijk
46350510;bkbkol;Balkbrug, Koloniedijk
46350520;bkboms;Balkbrug, Ommerschans
46350530;bkboms;Balkbrug, Ommerschans
46359951;;Streckenpunkt Dedemsvaart-Balkbrug tbv lijn 217
46390010;grbsch;Gramsbergen, De Schakel
46390020;grbsch;Gramsbergen, De Schakel
46390030;grbloo;Gramsbergen, Loozermars/De Lhee
46390040;grbloo;Gramsbergen, Loozermars/De Lhee
46400054;raasta;Raalte, Station
46400055;raasta;Raalte, Station
46400100;raasta;Raalte, Station
46400152;raakru;Raalte, Kruisstraat
46400200;raakru;Raalte, Kruisstraat
46400250;raawes;Raalte, Westdorplaan
46400300;raawes;Raalte, Westdorplaan
46400550;raapkt;Raalte, Willem Stoltehof
46400700;raapkt;Raalte, Willem Stoltehof
46401150;raapau;Raalte, Pauluskerk
46401250;raadha;Raalte, De Haar
46401350;raalan;Raalte, Langkampweg
46401400;raahov;Raalte, De Hoven
46401470;raacar;Raalte, Carpoolplaats
46401500;raapau;Raalte, Pauluskerk
46401550;raapel;Raalte, Peelsbos
46401600;raadha;Raalte, De Haar
46401700;raalan;Raalte, Langkampweg
46401820;raacar;Raalte, Carpoolplaats
46401900;raapel;Raalte, Peelsbos
46402000;hnoree;Heino, 't Reelaer
46402010;raamer;Raalte, Merel
46402040;raamer;Raalte, Merel
46402050;raadum;Raalte, Dumbarstraat
46402060;raadum;Raalte, Dumbarstraat
46403010;dveklo;De Velde, Kloosterziel
46403020;dveklo;De Velde, Kloosterziel
46419003;olddst;Oudleusen, De Stokte
46419004;olddst;Oudleusen, De Stokte
46419005;oldden;Oudleusen, Dennenkamp
46419006;oldden;Oudleusen, Dennenkamp
46430150;lmvdok;Lemelerveld, Doktersbrug
46430250;lmvdwa;Lemelerveld, Dwarsweg
46430300;lmvdok;Lemelerveld, Doktersbrug
46430350;lmvkli;Lemelerveld, Klipperstraat
46430400;lmvdwa;Lemelerveld, Dwarsweg
46430450;lmvpos;Lemelerveld, Posthoornweg
46430460;lmvpos;Lemelerveld, Posthoornweg
46430500;lmvkli;Lemelerveld, Klipperstraat
46430550;lmvpar;Lemelerveld, Parallelstraat
46430600;lmvpos;Lemelerveld, Posthoornweg
46430700;lmvpar;Lemelerveld, Parallelstraat
46450340;raavar;Raalte, Varkensmarkt
46501010;zslkra;Zwartsluis, Kranerweerd
46501020;zslkra;Zwartsluis, Kranerweerd
46501030;zslnie;Zwartsluis, Nieuwesluis
46501040;zslnie;Zwartsluis, Nieuwesluis
46501050;zslzom;Zwartsluis, Zomerdijk
46501060;zslzom;Zwartsluis, Zomerdijk
46501070;zslwro;Zwartsluis, Westeinde - Rotonde
46501080;zslwro;Zwartsluis, Westeinde - Rotonde
46511010;zsldno;Zwartsluis, De Noorde
46511020;zsldno;Zwartsluis, De Noorde
46511030;zslzie;Zwartsluis, Zieltje
46511040;zslzie;Zwartsluis, Zieltje
46520010;sjkfle;St. Jansklooster, Flevoweg
46520020;sjkfle;St. Jansklooster, Flevoweg
46520030;sjkven;St.Jansklooster, Veneweg
46520040;sjkven;St.Jansklooster, Veneweg
46522010;htvbar;Heetveld, Barsbeek
46522020;htvbar;Heetveld, Barsbeek
46522070;sjkbar;St.Jansklooster, Barsbeek 36
46522080;sjkbar;St.Jansklooster, Barsbeek 36
46522090;kadkad;Kadoelen, Kadoelen
46522100;kadkad;Kadoelen, Kadoelen
46522110;sjkden;St. Jansklooster, Dennenbos
46522120;sjkden;St. Jansklooster, Dennenbos
46522130;sjkoka;St. Jansklooster, Oldenhof Kadoelerweg
46522140;sjkoka;St. Jansklooster, Oldenhof Kadoelerweg
46522150;sjkhal;St. Jansklooster, Halleweg
46522160;sjkhal;St. Jansklooster, Halleweg
46522170;sjkzuu;St. Jansklooster, Zuurbeek
46522180;sjkzuu;St. Jansklooster, Zuurbeek
46531010;sjkvdw;St. Jansklooster, Verlengde Duinweg
46531020;sjkvdw;St. Jansklooster, Verlengde Duinweg
46531030;volwey;Vollenhove, Weyert
46531040;volwey;Vollenhove, Weyert
46531050;volzwe;Vollenhove, Zwembad
46531060;volzwe;Vollenhove, Zwembad
46540050;pleple;Pleegste, Pleegsterhalte
46540100;pledhe;Pleegste, De Heuvel
46540150;plevro;Pleegste, Van Rossum
46540200;plehoo;Pleegste, Hoogspanningsgebouw
46540250;plehoo;Pleegste, Hoogspanningsgebouw
46540300;plevro;Pleegste, Van Rossum
46540350;pledhe;Pleegste, De Heuvel
46540400;pleple;Pleegste, Pleegsterhalte
46540450;raahov;Raalte, De Hoven
46540500;wesbro;Wesepe, Broeklanderweg
46541010;gnmove;Genemuiden, Overtoom
46541020;gnmove;Genemuiden, Overtoom
46541030;gnmher;Genemuiden, Hervormd Centrum
46541040;gnmher;Genemuiden, Hervormd Centrum
46541050;gnmdme;Genemuiden, De Meente
46541060;gnmdme;Genemuiden, De Meente
46552030;gnmoud;Genemuiden, Oude Stoomgemaal
46552040;gnmoud;Genemuiden, Oude Stoomgemaal
46552050;kzdk21;Kamperzeedijk, Kamperzeedijk 21
46552060;kzdk21;Kamperzeedijk, Kamperzeedijk 21
46560010;kzdkzw;Kamperzeedijk, Kamperzeedijk/West
46560020;kzdkzw;Kamperzeedijk, Kamperzeedijk/West
46560050;kzdnge;Kamperzeedijk, Nieuwe Gemaal
46560060;kzdnge;Kamperzeedijk, Nieuwe Gemaal
46560070;grhman;Grafhorst, Mandjeswaard
46560080;grhman;Grafhorst, Mandjeswaard
46600100;ommgie;Ommen, Giethemer Kerkpad
46600150;ommgie;Ommen, Giethemer Kerkpad
46602010;bssbel;Belt Schutsloot, Belterweg
46602020;bssbel;Belt Schutsloot, Belterweg
46610650;ommsta;Ommen, Station
46610770;ommgui;Ommen, Guido de Bresschool
46611210;ommmar;Ommen, Markt
46611250;ommche;Ommen, Chevalleraustraat
46611400;ommche;Ommen, Chevalleraustraat
46613020;ommdan;Ommen, Danteweg
46613030;ommdan;Ommen, Danteweg
46613060;ommcen;Ommen, Centrum
46619001;;NPMAP Staphorst, Gemeenteweg
46630110;bssstr;Belt Schutsloot, Strandje
46630120;bssstr;Belt Schutsloot, Strandje
46630130;gieghz;Giethoorn, Giethoorn Zuid
46630140;gieghz;Giethoorn, Giethoorn Zuid
46630150;giehve;Giethoorn, Hollands Venetie
46630160;giehve;Giethoorn, Hollands Venetie
46630170;wnvhke;Wanneperveen, Hervormde Kerk
46630180;wnvhke;Wanneperveen, Hervormde Kerk
46630190;wnvvel;Wanneperveen, Veldweg
46630200;wnvvel;Wanneperveen, Veldweg
46630210;wnvhot;Wanneperveen, Hotel Belterwiede
46630220;wnvhot;Wanneperveen, Hotel Belterwiede
46630230;wnv252;Wanneperveen, Perceel 252
46630240;wnv252;Wanneperveen, Perceel 252
46640050;wesbox;Wesepe, Boxbergerweg
46640070;wesbox;Wesepe, Boxbergerweg
46640080;wesbox;Wesepe, Boxbergerweg
46640100;wesvel;Wesepe, Velsdijk
46640250;wesvel;Wesepe, Velsdijk
46640300;wesbox;Wesepe, Boxbergerweg
46640350;wesbro;Wesepe, Broeklanderweg
46640400;shrkns;Schalkhaar, Klooster Nieuw Sion
46641030;giegro;Giethoorn, Groene Kruis
46641040;giegro;Giethoorn, Groene Kruis
46650010;gielin;Giethoorn, Lindehof
46650020;gielin;Giethoorn, Lindehof
46650030;giebru;Giethoorn, Brug
46650040;giebru;Giethoorn, Brug
46650050;giepe9;Giethoorn, Perceel 9
46650060;giepe9;Giethoorn, Perceel 9
46660030;dtvnie;Dinxterveen, Nieuwedijk
46660040;dtvnie;Dinxterveen, Nieuwedijk
46660050;dtvgas;Dinxterveen, Gasthuisdijk
46660060;dtvgas;Dinxterveen, Gasthuisdijk
46660070;dtvp44;Dinxterveen, Perceel 44
46660080;dtvp44;Dinxterveen, Perceel 44
46660090;wnvurk;Wanneperveen, Urkerpad
46660100;wnvurk;Wanneperveen, Urkerpad
46660110;wnvp80;Wanneperveen, Perceel 80
46660120;wnvp80;Wanneperveen, Perceel 80
46660130;wnvvos;Wanneperveen, Wethouder Vosstraat
46660140;wnvvos;Wanneperveen, Wethouder Vosstraat
46660150;wnvrho;Wanneperveen, Roege Hoeve
46660160;wnvrho;Wanneperveen, Roege Hoeve
46660170;wnvhaa;Wanneperveen, 't Haagje
46660180;wnvhaa;Wanneperveen, 't Haagje
46740010;tngwes;Tongeren, De Wesenberg
46740020;tngwes;Tongeren, De Wesenberg
46740100;shrbeg;Schalkhaar, Begraafplaats
46740150;shrfri;Schalkhaar, Frieswijk
46740160;shrcre;Schalkhaar, Crematorium
46740250;shrfrw;Schalkhaar, Frieswijkerweg
46740260;shrcre;Schalkhaar, Crematorium
46740300;shrfri;Schalkhaar, Frieswijk
46740350;shrkns;Schalkhaar, Klooster Nieuw Sion
46740400;shrfrw;Schalkhaar, Frieswijkerweg
46776310;brobro;Broekland, Broekland
46776320;brobro;Broekland, Broekland
46780010;weszon;Wesepe, Zonnenbergerweg
46780020;weszon;Wesepe, Zonnenbergerweg
46780030;wesker;Wesepe, Kerk
46780040;wesker;Wesepe, Kerk
46799951;;Streckenpunkt kering shrgdr
46800010;zwlitt;Zwolle, Ittersumallee
46809951;;Streckenpunkt IJsselallee tbv lijn 6/8
46809952;;Streckenpunkt IJsselallee tbv lijn 6/8
46840010;raahar;Raalte, Hartkampweg
46840020;raahar;Raalte, Hartkampweg
46840030;raagem;Raalte, Gemeentehuis
46840040;raagem;Raalte, Gemeentehuis
46841001;raacei;Raalte, Ceintuurbaan
46841002;raacei;Raalte, Ceintuurbaan
46890030;lmveve;Lemelerveld, Evenemententerrein
46890040;lmvhan;Lemelerveld, Handelsweg
46890050;lmvhan;Lemelerveld, Handelsweg
46899951;;Streckenpunkt kering lmveve
46970010;htnskp;Heeten, Stevenskamp
46970020;htnskp;Heeten, Stevenskamp
47130010;zwlnhw;Zwolle, Hasselterweg
47130020;zwlnhw;Zwolle, Hasselterweg
47130030;zwlzwo;Zwolle, Zwolseweg
47130040;zwlzwo;Zwolle, Zwolseweg
47130100;hrbvee;'s-Heerenbroek, Veecaten
47130150;hrbvee;'s-Heerenbroek, Veecaten
47130200;hrbbis;'s-Heerenbroek, Bisschopswetering
47130250;hrbbis;'s-Heerenbroek, Bisschopswetering
47130300;hrbsch;'s-Heerenbroek, Schoolsteeg
47130350;hrbsch;'s-Heerenbroek, Schoolsteeg
47130400;hrbz56;'s-Heerenbroek, Zwolseweg 56
47132520;zwlbvo;Zwolle, Blaloweg
47132620;zwlver;Zwolle, Veronicaweg
47132750;zwlpet;Zwolle, Petuniaplein
47132800;zwltes;Zwolle, Tesjeslaan
47132850;zwlmel;Zwolle, Melissepad
47132900;zwllog;Zwolle, Loggerweg
47132950;zwlvog;Zwolle, Vogelmelkweg
47133000;zwlwha;Zwolle, Westenholterallee
47140010;zwlssl;Zwolle, Staatssecretarislaan
47140020;zwlssl;Zwolle, Staatssecretarislaan
47140030;zwlkam;Zwolle, Kamerledenlaan
47140040;zwlkam;Zwolle, Kamerledenlaan
47140050;wyhher;Wijhe, Herxen
47140060;zwlrom;Zwolle, Rommestraat
47140070;zwlrom;Zwolle, Rommestraat
47140110;lzukrk;Laag Zuthem, Kerk
47140150;wyhhxe;Wijhe, Herxerenk
47140160;zlkbri;Zalk, Brinkweg
47140200;wyhher;Wijhe, Herxen
47140250;whmbru;Windesheim, Brug
47140300;wyhhxe;Wijhe, Herxerenk
47140350;whmzut;Windesheim, Zuthemerweg
47140400;whmbru;Windesheim, Brug
47140450;zwlrom;Zwolle, Rommestraat
47140500;whmzut;Windesheim, Zuthemerweg
47140550;zwlijs;Zwolle, IJsselcentraleweg
47140600;zwlrom;Zwolle, Rommestraat
47150010;htmsta;Hattem, Stationslaan
47150290;htmysb;Hattem, IJsselbrug
47150310;htmdor;Hattem, Dorpsweg
47150320;htmbon;Hattem, De Bongerd
47150900;htmvec;Hattem, Vechtstraat
47151001;hmbcen;Hattemerbroek, Centrum
47151002;hmbcen;Hattemerbroek, Centrum
47155001;htmpom;Hattem, Pompstation
47155003;htmzui;Hattem, Zuid
47155004;htmzui;Hattem, Zuid
47155005;htmcen;Hattem, Centrum
47155006;htmcen;Hattem, Centrum
47155007;htmnoo;Hattem, Noord
47155008;htmnoo;Hattem, Noord
47155009;htmysb;Hattem, IJsselbrug
47155010;htmysb;Hattem, IJsselbrug
47155012;htmysb;Hattem, IJsselbrug
47155037;htmcar;Hattem, Carpoolplaats A50
47155038;htmcar;Hattem, Carpoolplaats A50
47159000;PGOG;Provinciegrens G-O
47159010;PGOG;Provinciegrens O-G
47159020;PGOG;Provinciegrens G-O A28
47159030;PGOG;Provinciegrens O-G A28
47159901;PGOG;Provinciegrens G-O
47159902;PGOG;Provinciegrens G-O
47159951;;Streckenpunkt Hattem tbv lijn 301
47210003;wezcoe;Wezep, Cafe Rest. Coelenhage
47210004;wezcoe;Wezep, Cafe Rest. Coelenhage
47210005;wezvel;Wezep, Veluwelaan
47210006;wezvel;Wezep, Veluwelaan
47210007;wezwzk;Wezep, W. de Zwijgerkazerne
47210008;wezwzk;Wezep, W. de Zwijgerkazerne
47210011;wezbeg;Wezep, Begraafplaats
47210012;wezbeg;Wezep, Begraafplaats
47210013;wezmei;Wezep, Meidoornplein
47210014;wezmei;Wezep, Meidoornplein
47210015;wezsta;Wezep, Station
47210017;wezrdw;Wezep, A28/Rondweg
47210018;wezrdw;Wezep, A28/Rondweg
47210019;weza28;Wezep, A28/IJsselvliedt
47210020;weza28;Wezep, A28/IJsselvliedt
47219951;;Streckenpunkt Oldebroek-Wezep tbv lijn 199/301
47230050;hrbz56;'s-Heerenbroek, Zwolseweg 56
47230100;wlsqvu;Wilsum, Quarles v. Uffordweg
47230130;wlsdor;Wilsum, Dorpsweg
47230150;wlsqvu;Wilsum, Quarles v. Uffordweg
47230160;wlsnie;Wilsum, Nieuwstad
47230170;wlsnie;Wilsum, Nieuwstad
47230180;wlswes;Wilsum, Westenbergstraat
47230190;wlsree;Wilsum, Van Reestraat
47230200;wlswil;Wilsum, Wilsumersteeg
47230250;wlswil;Wilsum, Wilsumersteeg
47230300;ysmz44;IJsselmuiden, Zwolseweg 44
47240050;wyhons;Wijhe, Overweg NS
47240100;wyhopr;Wijhe, Oprit Dijk
47240200;wyhons;Wijhe, Overweg NS
47254001;wapnac;Wapenveld, Nachtegaalweg
47254003;wapmol;Wapenveld, Molenweg
47254004;wapmol;Wapenveld, Molenweg
47254005;wappar;Wapenveld, Parkweg
47254006;wappar;Wapenveld, Parkweg
47254007;wapzee;Wapenveld, Ir R.R. v/d Zeelaan
47254008;wapzee;Wapenveld, Ir R.R. v/d Zeelaan
47255002;htmpom;Hattem, Pompstation
47310010;otwbeg;Oosterwolde, Begraafplaats
47310020;otwbeg;Oosterwolde, Begraafplaats
47312001;tlomul;'t Loo, Bongersweg
47312002;tlomul;'t Loo, Bongersweg
47312003;tloput;'t Loo, Putstraat
47312004;tloput;'t Loo, Putstraat
47312005;tlotlo;'t Loo, Landal Landgoed 't Loo
47312008;tlohaa;'t Loo, Harm Aartsweg
47312009;tlospo;'t Loo, Sportlaan
47312010;tlospo;'t Loo, Sportlaan
47312011;tloodr;'t Loo, D'olde Dreiput
47312012;tloodr;'t Loo, D'olde Dreiput
47319001;odbrus;Oldebroek, Rustenburgsweg
47319002;odbrus;Oldebroek, Rustenburgsweg
47319003;odbcen;Oldebroek, Centrum
47319004;odbcen;Oldebroek, Centrum
47319005;odbcaf;Oldebroek, Cafe 't Wissel
47319006;odbcaf;Oldebroek, Cafe 't Wissel
47319007;odbver;Oldebroek, Verlengde Looweg
47319008;odbver;Oldebroek, Verlengde Looweg
47319009;odbhog;Oldebroek, Hogenbrinkweg
47319010;odbhog;Oldebroek, Hogenbrinkweg
47319011;odbdmo;Oldebroek, De Molen
47319012;odbdmo;Oldebroek, De Molen
47319013;odbdhu;Oldebroek, De Hullen
47319014;odbdhu;Oldebroek, De Hullen
47319015;odbgem;Oldebroek, Gemeentehuis
47319016;odbgem;Oldebroek, Gemeentehuis
47319017;odbboe;Oldebroek, Boerderijmuseum
47319018;odbboe;Oldebroek, Boerderijmuseum
47319080;PGOG;Provinciegrens O-G
47319090;PGOF;Provinciegrens G-O
47319173;othsch;Oosterwolde, Schiksweg
47319990;otwcen;Oosterwolde, Centrum
47320060;zlkbri;Zalk, Brinkweg
47320070;dzakoe;De Zande, Koelucht
47320080;dzazal;De Zande, Zalkerdijk
47320090;dzazal;De Zande, Zalkerdijk
47320110;zlkoas;Zalk, Oase
47320120;zlkoas;Zalk, Oase
47330010;kamaca;Kampen, Acacialaan
47330080;kamgem;Kampen, Gemeentehuis
47330120;kamben;Kampen, Beneluxweg
47330140;ysmoos;IJsselmuiden, Oosterlandenweg
47330150;kamij1;Kampen, IJsselbrug
47330160;kamven;Kampen, Venedijk
47330170;ysmoos;IJsselmuiden, Oosterlandenweg
47330200;kamij1;Kampen, IJsselbrug
47330201;kamijs;Kampen, IJsselbrug
47330210;kamijs;Kampen, IJsselbrug
47330230;kamhan;Kampen, Hanzelaan
47330250;kamvhe;Kampen, Van Heutszplein
47330300;kamvhe;Kampen, Van Heutszplein
47331110;ysmdro;IJsselmuiden, Drostenstraat
47331120;ysmdro;IJsselmuiden, Drostenstraat
47331130;ysmmar;IJsselmuiden, Hogehuisstraat
47331140;ysmmar;IJsselmuiden, Hogehuisstraat
47331160;ysmsle;IJsselmuiden, Slenkstraat
47331170;ysmsle;IJsselmuiden, Slenkstraat
47331180;ysmbur;IJsselmuiden, Burg. van Engelenweg
47331280;kamake;Kampen, Akelei
47331310;kamvij;Kampen, Vijverhof
47331320;kamvij;Kampen, Vijverhof
47331900;kambov;Kampen, Bovenhavenstraat
47332200;kamkoo;Kampen, Koornmarkt
47332210;kamkoo;Kampen, Koornmarkt
47332300;kambov;Kampen, Bovenhavenstraat
47332310;grhmee;Grafhorst, Meenteweg
47332320;grhmee;Grafhorst, Meenteweg
47332600;ysmver;IJsselmuiden, Verzinkerij
47332700;ysmghw;IJsselmuiden, Grafhorsterweg
47332750;ysmghw;IJsselmuiden, Grafhorsterweg
47332800;kpense;Kampereiland, Natuurbad Seveningen
47332850;ysmz44;IJsselmuiden, Zwolseweg 44
47332950;ysmver;IJsselmuiden, Verzinkerij
47333250;kamora;Kampen, Oranjesingel
47333300;kamoos;Kampen, Oostzeestraat
47333350;kamoos;Kampen, Oostzeestraat
47333400;kamalm;Kampen, Almere College
47333410;kamalm;Kampen, Almere College
47333450;kamalm;Kampen, Almere College
47333500;kamnhs;Kampen, Nijverheidsstraat
47333850;kambee;Kampen, Beekmanstraat
47333950;kamlee;Kampen, Leeghwaterstraat
47334070;kamere;Kampen, Ereprijs
47334460;kamtor;Kampen, Tormentil
47334750;kamisa;Kampen, Isala Polikliniek
