userstopcode;userstopareacode;stopname
54191430;dhgmes;Den Haag, Melis Stokelaan
54191440;dhgmes;Den Haag, Melis Stokelaan
54191450;dhgpat;Den Haag, Paterswoldestraat
54191460;dhgpat;Den Haag, Paterswoldestraat
54191500;dhglwg;Den Haag, Leyweg
54191510;dhgvrl;Den Haag, Vrederustlaan
54191520;dhgdre;Den Haag, De Dreef
54191610;dhgley;Den Haag, Leyenburg
54191620;dhgley;Den Haag, Leyenburg
54191640;dhgley;Den Haag, Leyenburg
54191660;dhgley;Den Haag, Leyenburg
54193010;dhglap;Den Haag, Louis Armstrongplein
54193020;dhglap;Den Haag, Louis Armstrongplein
54197050;Z1928;Zonegrens 5419/5428
54197081;Z1929;Zonegrens 5419/5429
54200050;pnkrsk;Pijnacker, Rijskade
54200060;pnkrsk;Pijnacker, Rijskade
54200130;pnkbre;Pijnacker, Bremlaan
54200140;pnkbre;Pijnacker, Bremlaan
54200150;pnkrr;Pijnacker, Station Pijnacker Centrum
54200160;pnkrr;Pijnacker, Station Pijnacker Centrum
54200170;pnkklv;Pijnacker, Vlielandseweg
54200180;pnkklv;Pijnacker, Vlielandseweg
54200230;pnkack;Pijnacker, Ackershof
54200231;pnkack;Pijnacker, Ackershof
54200240;pnkack;Pijnacker, Ackershof
54200241;pnkack;Pijnacker, Ackershof
54200270;pnkrhp;Pijnacker, Raadhuisplein
54200280;pnkrhp;Pijnacker, Raadhuisplein
54200290;pnkgrp;Pijnacker, Groen van Prinstererlaan
54200300;pnkgrp;Pijnacker, Groen van Prinstererlaan
54200310;pnknob;Pijnacker, Nobellaan
54200320;pnknob;Pijnacker, Nobellaan
54200340;pnkzdw;Pijnacker, Zijdeweg
54200390;pnkora;Pijnacker, Oranjelaan
54200391;pnkora;Pijnacker, Oranjelaan
54200410;pnkgem;Pijnacker, Gemeentekantoor
54200411;pnkgem;Pijnacker, Gemeentekantoor
54200440;dfgdp;Delfgauw, Delfgauwseplein
54200450;pnkrrz;Pijnacker, Station Pijnacker Zuid
54200460;pnkrrz;Pijnacker, Station Pijnacker Zuid
54201010;dfgspo;Delfgauw, Kerkelijk Centrum
54201030;oleolw;Oude Leede, Oude Leedeweg
54201170;pnkmrs;Pijnacker, Margaretha Roosenboomstraat
54201180;pnkmrs;Pijnacker, Margaretha Roosenboomstraat
54201190;pnkmkl;Pijnacker, Marga Klompelaan
54201200;pnkmkl;Pijnacker, Marga Klompelaan
54201270;pnkuvc;Pijnacker, Schoutenlaan
54201280;pnkuvc;Pijnacker, Schoutenlaan
54201290;olevms;Oude Leede, Voormalige school
54207051;Z2021;Zonegrens 5420/5421
54207056;Z2026;Zonegrens 5420/5426
54210060;ndppoo;Nootdorp, De Poort
54210070;ndppoo;Nootdorp, De Poort
54210090;dhggld;Den Haag, Guirlande
54210100;dhggld;Den Haag, Guirlande
54210120;ndpcra;Nootdorp, Craeyenburch
54210310;dhgbtg;Den Haag, Bottgerwater
54210320;dhgbtg;Den Haag, Bottgerwater
54210330;ndpcen;Nootdorp, Centrum/Parade
54210340;ndppar;Nootdorp, Paradeplein
54210350;ndppar;Nootdorp, Paradeplein
54210360;ndpmar;Nootdorp, Markt
54210390;ndpkie;Nootdorp, Kievitsbloem
54210400;ndpkie;Nootdorp, Kievitsbloem
54210410;dhgwat;Den Haag, Waterviolier
54210420;dhgwat;Den Haag, Waterviolier
54210450;dhgedk;Den Haag, van Essendijk
54210460;dhgedk;Den Haag, van Essendijk
54210470;ndpbja;Nootdorp, Begraafplaats St. Janshof
54210480;ndpbja;Nootdorp, Begraafplaats St. Janshof
54210510;dhglvh;Den Haag, Laan van Hoornwijck
